Date,Configuration,Customer Postcode,Store Postcode,Retail Price,month
4/1/2013 4:53,148,EC3V 1LR,SW1P 3AU,365,4
4/1/2013 4:56,208,SE15 3NX,SW1P 3AU,460,4
4/1/2013 4:57,66,SW8 1XP,SW1V 4QQ,365,4
4/1/2013 4:57,171,EC3V 0BP,SW1P 3AU,420,4
4/1/2013 5:13,214,SW8 1RB,SE1 2BN,445,4
4/1/2013 5:20,356,SW9 8HH,SW1P 3AU,505,4
4/1/2013 5:24,338,KT7 0JP,W4 3PH,440,4
4/1/2013 5:26,21,W1D 5BH,SW1V 4QQ,440,4
4/1/2013 5:26,200,W1W 5QU,SW1V 4QQ,480,4
4/1/2013 5:29,296,WC1N 2PB,NW5 2QH,525,4
4/1/2013 5:37,67,W1G 6PG,NW5 2QH,455,4
4/1/2013 5:47,71,E8 1EJ,N17 6QA,535,4
4/1/2013 5:48,208,SW3 2DY,W10 6HQ,460,4
4/1/2013 5:59,352,E6 1EN,SE8 3JD,540,4
4/1/2013 6:01,163,E7 8NW,SE8 3JD,440,4
4/1/2013 6:08,358,EC1V 4PH,SW1P 3AU,525,4
4/1/2013 6:08,347,CR0 6BE,SW12 9HD,510,4
4/1/2013 6:11,207,WC2H 0EA,SW1V 4QQ,510,4
4/1/2013 6:15,301,W1K 5RE,SW1V 4QQ,495,4
4/1/2013 6:20,361,SE25 4LX,SW12 9HD,495,4
4/1/2013 6:20,222,BR3 1AG,SW12 9HD,425,4
4/1/2013 6:24,361,SE23 2NE,CR7 8LE,495,4
4/1/2013 6:24,214,WC1X 9NB,NW5 2QH,445,4
4/1/2013 6:28,352,SW4 7AA,SW12 9HD,540,4
4/1/2013 6:37,175,SW1W 8TR,SW1V 4QQ,500,4
4/1/2013 6:41,352,W1T 1JQ,SW1V 4QQ,540,4
4/1/2013 6:45,214,W6 7BL,SW18 1NN,445,4
4/1/2013 6:47,362,EC1A 9DY,SW1P 3AU,445,4
4/1/2013 6:58,289,SW1V 1RY,SW1P 3AU,455,4
4/1/2013 6:59,360,SW1Y 5AT,SE1 2BN,585,4
4/1/2013 7:13,209,SE1 7HR,SW1P 3AU,435,4
4/1/2013 7:20,317,WC1B 3BA,SW1P 3AU,520,4
4/1/2013 7:29,18,E14 3BW,E2 0RY,330,4
4/1/2013 7:30,169,N19 4HZ,N3 1DH,380,4
4/1/2013 7:34,174,EC4R 9AY,SW1P 3AU,390,4
4/1/2013 8:03,27,SE23 3HE,CR7 8LE,400,4
4/1/2013 8:04,208,NW1 4EE,SW1V 4QQ,460,4
4/1/2013 8:06,149,SE11 4XD,SW1P 3AU,435,4
4/1/2013 8:06,307,SE8 4RZ,SE8 3JD,520,4
4/1/2013 8:09,317,SW1Y 6DF,SW1P 3AU,520,4
4/1/2013 8:19,203,WC2A 3HP,SW1V 4QQ,430,4
4/1/2013 8:35,67,KT2 5EE,SW18 1NN,455,4
4/1/2013 8:45,206,EC1V 4JP,NW5 2QH,400,4
4/1/2013 8:48,223,SW1P 2HA,SW1P 3AU,535,4
4/1/2013 8:55,168,SE1 8NL,SE1 2BN,470,4
4/1/2013 8:57,297,SE11 4EA,SW1V 4QQ,435,4
4/1/2013 9:02,160,SE14 6LA,SE8 3JD,425,4
4/1/2013 9:14,367,NW1 6XE,SW1P 3AU,615,4
4/1/2013 9:19,296,W1H 6HR,SW1P 3AU,525,4
4/1/2013 9:21,296,W1D 4AE,SW1V 4QQ,525,4
4/1/2013 9:23,205,EC1Y 1BD,SE1 2BN,450,4
4/1/2013 9:24,212,SE20 8RZ,SE8 3JD,425,4
4/1/2013 9:27,18,NW6 4JD,W10 6HQ,330,4
4/1/2013 9:33,215,W1J 7QA,SW1P 3AU,555,4
4/1/2013 9:43,299,W12 9ER,W10 6HQ,475,4
4/1/2013 9:48,75,W1F 7HH,NW5 2QH,435,4
4/1/2013 9:50,7,E14 4BB,SE1 2BN,475,4
4/1/2013 9:59,219,WC1N 2JF,SW1P 3AU,455,4
4/1/2013 10:07,368,E2 9LH,E2 0RY,565,4
4/1/2013 10:12,291,SE20 7DT,CR7 8LE,495,4
4/1/2013 10:15,28,N1 9HS,E2 0RY,350,4
4/1/2013 10:29,302,E2 8AS,E2 0RY,445,4
4/1/2013 10:39,299,W1H 2HQ,W10 6HQ,475,4
4/1/2013 10:45,311,E1W 3SP,SE1 2BN,600,4
4/1/2013 10:45,366,EC2M 3TH,SE1 2BN,505,4
4/1/2013 10:46,213,W11 2QA,SW1P 3AU,495,4
4/1/2013 10:50,162,W1G 0JA,SW1V 4QQ,350,4
4/1/2013 11:01,198,W1H 1DG,SW1P 3AU,420,4
4/1/2013 11:04,223,EC3R 5AQ,SW1P 3AU,535,4
4/1/2013 11:06,23,E13 0AD,E7 8NW,500,4
4/1/2013 11:11,215,WC1H 9EP,SW1V 4QQ,555,4
4/1/2013 11:13,294,SW11 3AA,SW12 9HD,465,4
4/1/2013 11:15,7,SW4 7AA,SW12 9HD,475,4
4/1/2013 11:20,343,CR0 1NF,SW12 9HD,610,4
4/1/2013 11:20,347,SW4 0LB,SW1V 4QQ,510,4
4/1/2013 11:25,337,WC1B 5BP,SW1P 3AU,490,4
4/1/2013 11:33,348,TW7 6QJ,W4 3PH,460,4
4/1/2013 11:44,167,W1D 7PJ,NW5 2QH,520,4
4/1/2013 11:46,353,KT1 2UB,W4 3PH,515,4
4/1/2013 11:48,21,W1D 5DH,SW1V 4QQ,440,4
4/1/2013 11:53,299,SE14 6TJ,E2 0RY,475,4
4/1/2013 12:00,80,SE1 1NA,SE1 2BN,465,4
4/1/2013 12:04,71,SW16 1DA,SW18 1NN,535,4
4/1/2013 12:10,5,W1B 5QH,NW5 2QH,415,4
4/1/2013 12:11,211,SE1 1NH,SW1P 3AU,475,4
4/1/2013 12:13,221,SW1A 2NH,SE1 2BN,475,4
4/1/2013 12:14,346,W1F 9QP,SW1V 4QQ,420,4
4/1/2013 12:20,319,W1P 1HJ,NW5 2QH,580,4
4/1/2013 12:23,21,E1 6NU,SE1 2BN,440,4
4/1/2013 12:26,318,N7 6AR,N17 6QA,470,4
4/1/2013 12:26,205,CR0 2BW,SW18 1NN,450,4
4/1/2013 12:32,15,WC2N 4ER,SW1P 3AU,455,4
4/1/2013 12:46,358,N1 8EQ,NW5 2QH,525,4
4/1/2013 13:01,364,SE14 6TY,SE1 2BN,485,4
4/1/2013 13:08,223,E1 4AA,SE8 3JD,535,4
4/1/2013 13:13,158,EC2M 6SA,E2 0RY,365,4
4/1/2013 13:14,364,E1 4TP,SE1 2BN,485,4
4/1/2013 13:25,209,E1 6NU,SW1P 3AU,435,4
4/1/2013 13:33,154,EC3R 6DB,SW1P 3AU,305,4
4/1/2013 13:35,197,W1H 2HQ,SW1V 4QQ,470,4
4/1/2013 13:36,339,SE19 1TQ,SW12 9HD,530,4
4/1/2013 13:54,199,N4 2DE,NW5 2QH,530,4
4/1/2013 14:06,338,SW17 9NG,SW18 1NN,440,4
4/1/2013 14:10,212,WC2N 4AJ,SE1 2BN,425,4
4/1/2013 14:11,295,E12 5DB,E7 8NW,575,4
4/1/2013 14:12,294,EC2M 7NX,SE1 2BN,465,4
4/1/2013 14:12,300,WC2E 8HB,SW1V 4QQ,425,4
4/1/2013 14:32,301,SW16 1BS,SW12 9HD,495,4
4/1/2013 14:34,358,SE23 3HE,SE8 3JD,525,4
4/1/2013 14:37,213,SE11 5JA,SW1P 3AU,495,4
4/1/2013 14:40,214,EC2A 3BX,SE1 2BN,445,4
4/1/2013 14:46,303,KT1 2UW,SW18 1NN,555,4
4/1/2013 14:49,161,SE1 2LN,SW1P 3AU,400,4
4/1/2013 14:53,295,SE1 2PF,SE1 2BN,575,4
4/1/2013 15:10,7,EC3V 0AS,SE1 2BN,475,4
4/1/2013 15:10,320,W1M 7FB,SW1V 4QQ,530,4
4/1/2013 15:21,346,WC2B 5JS,SW1P 3AU,420,4
4/1/2013 16:02,176,SW1V 1DW,SW1P 3AU,450,4
4/1/2013 16:05,199,EC4Y 1DG,SW1P 3AU,530,4
4/1/2013 16:12,299,EC3A 8AH,SE1 2BN,475,4
4/1/2013 16:12,163,SW18 1TF,SW18 1NN,440,4
4/1/2013 16:24,13,WC1R 4PZ,SW1V 4QQ,395,4
4/1/2013 16:27,203,W1D 3RZ,SW1V 4QQ,430,4
4/1/2013 16:30,296,N1 8JT,E2 0RY,525,4
4/1/2013 16:34,3,SE16 4QZ,SE1 2BN,395,4
4/1/2013 16:44,359,SE26 6RS,CR7 8LE,635,4
4/1/2013 16:47,216,NW5 1SP,NW5 2QH,505,4
4/1/2013 16:47,217,E14 6JP,E2 0RY,415,4
4/1/2013 16:50,346,SE23 1BS,CR7 8LE,420,4
4/1/2013 16:52,362,KT1 2PY,KT2 5AU,445,4
4/1/2013 16:56,31,W1T 1JQ,SW1V 4QQ,480,4
4/1/2013 17:10,296,EC4Y 1DG,SE1 2BN,525,4
4/1/2013 17:21,27,SW11 3AA,SW18 1NN,400,4
4/1/2013 17:22,21,SW15 1JN,SW18 1NN,440,4
4/1/2013 17:24,152,WC2E 8HB,SW1P 3AU,445,4
4/1/2013 17:27,302,WC1E 7DH,SW1P 3AU,445,4
4/1/2013 17:33,362,SE22 0RR,SE8 3JD,445,4
4/1/2013 17:42,13,IG11 8TN,SE8 3JD,395,4
4/1/2013 17:44,362,SE17 2SB,SE1 2BN,445,4
4/1/2013 17:52,152,SE11 6HS,SW1P 3AU,445,4
4/1/2013 17:59,296,W1S 4RX,NW5 2QH,525,4
4/1/2013 18:02,15,N1 2DU,SW1P 3AU,455,4
4/1/2013 18:07,72,EC1A 7JQ,E2 0RY,485,4
4/1/2013 18:07,291,N1 9BL,SE1 2BN,495,4
4/1/2013 18:09,205,SE11 4XD,SW1V 4QQ,450,4
4/1/2013 18:14,15,W2 3EU,W10 6HQ,455,4
4/1/2013 18:17,366,IG2 6BX,E2 0RY,505,4
4/1/2013 18:19,162,E1 8AZ,E2 0RY,350,4
4/1/2013 18:23,316,E8 3PE,SE1 2BN,450,4
4/1/2013 18:26,224,N1 9AP,SW1V 4QQ,485,4
4/1/2013 18:31,294,E8 3BH,SE1 2BN,465,4
4/1/2013 18:36,347,TW10 7DB,KT2 5AU,510,4
4/1/2013 18:40,294,N16 8RY,NW5 2QH,465,4
4/1/2013 18:42,221,WC1V 6BS,SW1V 4QQ,475,4
4/1/2013 18:47,295,W4 3PL,W10 6HQ,575,4
4/1/2013 18:52,210,SE14 6AG,E2 0RY,385,4
4/1/2013 18:55,1,SE8 3NT,E2 0RY,355,4
4/1/2013 18:59,359,NW3 2AE,W10 6HQ,635,4
4/1/2013 19:04,72,NW1 1BX,SW1P 3AU,485,4
4/1/2013 19:24,347,W1H 4HX,SW1V 4QQ,510,4
4/1/2013 19:27,318,SE1 2BN,SE1 2BN,470,4
4/1/2013 19:32,214,SW9 8DR,SW12 9HD,445,4
4/1/2013 19:43,301,WC2H 0HG,SE1 2BN,495,4
4/1/2013 20:13,209,SW2 1HE,SW1V 4QQ,435,4
4/1/2013 20:15,65,N7 8EE,NW5 2QH,415,4
4/1/2013 20:16,161,SE25 5AG,CR7 8LE,400,4
4/1/2013 20:31,342,KT6 4TW,SW18 1NN,500,4
4/1/2013 20:45,309,SW1W 8TR,SW1P 3AU,540,4
4/1/2013 20:45,198,N1 0PN,NW5 2QH,420,4
4/1/2013 20:47,311,SE25 4LX,CR7 8LE,600,4
4/1/2013 20:53,301,E7 8NW,E2 0RY,495,4
4/1/2013 21:05,363,SE16 4NF,E2 0RY,535,4
4/1/2013 21:09,146,W2 5AH,SW1V 4QQ,325,4
4/1/2013 21:10,298,W1D 5BH,SW1P 3AU,385,4
4/1/2013 21:11,74,TW10 5LA,W4 3PH,345,4
4/1/2013 21:34,77,EC4R 0AT,E2 0RY,455,4
4/1/2013 21:41,361,W1G 7EQ,SW1P 3AU,495,4
4/1/2013 21:42,356,W1T 1QY,SW1V 4QQ,505,4
4/1/2013 21:46,299,SE16 4QZ,E2 0RY,475,4
4/1/2013 21:51,345,SW4 0LB,SW12 9HD,470,4
4/1/2013 21:52,320,E1 0LA,SE1 2BN,530,4
4/1/2013 21:56,23,SE16 5EX,SE1 2BN,500,4
4/1/2013 22:13,50,SE14 6TY,SE8 3JD,340,4
4/1/2013 22:21,368,E1 7LS,SE1 2BN,565,4
4/1/2013 22:24,204,SE1 1NP,SW1P 3AU,380,4
4/1/2013 22:45,341,EC1M 6HW,SE1 2BN,550,4
4/1/2013 22:47,205,N1 1ER,SW1P 3AU,450,4
4/1/2013 22:48,312,SE11 4LD,SE1 2BN,550,4
4/1/2013 22:56,163,W11 1PY,W10 6HQ,440,4
4/1/2013 23:12,52,EC2M 6SA,SE1 2BN,380,4
4/1/2013 23:22,352,W1S 1AA,SW1V 4QQ,540,4
4/1/2013 23:24,26,EC1V 4JP,NW5 2QH,310,4
4/1/2013 23:42,302,NW1 1BX,NW5 2QH,445,4
4/1/2013 23:43,364,SW1Y 6DB,SE1 2BN,485,4
4/1/2013 23:47,354,SE25 6EA,CR7 8LE,465,4
4/1/2013 23:48,313,SW1V 2EE,SW1V 4QQ,460,4
4/1/2013 23:51,346,SE11 5JA,SW1P 3AU,420,4
4/2/2013 0:01,292,EC4V 4EG,SE1 2BN,445,4
4/2/2013 0:14,304,W1F 8ZD,SW1V 4QQ,505,4
4/2/2013 0:20,77,NW1 7RU,W10 6HQ,455,4
4/2/2013 0:27,19,SW4 7AA,SW12 9HD,420,4
4/2/2013 0:37,357,W1H 7PP,SW1P 3AU,575,4
4/2/2013 0:41,16,E14 8DU,SE8 3JD,405,4
4/2/2013 0:43,353,SW3 1LA,SW1V 4QQ,515,4
4/2/2013 0:43,209,EC4A 2BU,SW1V 4QQ,435,4
4/2/2013 0:45,366,SE13 5BU,E2 0RY,505,4
4/2/2013 0:47,344,WC2H 9HD,SW1P 3AU,560,4
4/2/2013 0:56,346,SE26 5QF,SE8 3JD,420,4
4/2/2013 1:18,313,BR3 1AG,SE8 3JD,460,4
4/2/2013 1:37,213,SE1 1TU,SW1P 3AU,495,4
4/2/2013 1:41,171,SE10 9PD,SE1 2BN,420,4
4/2/2013 1:59,64,W1K 5RE,NW5 2QH,440,4
4/2/2013 2:00,354,E14 7LS,E2 0RY,465,4
4/2/2013 2:00,212,NW6 2LU,NW5 2QH,425,4
4/2/2013 2:03,214,NW1 8NY,NW5 2QH,445,4
4/2/2013 2:08,309,EC2Y 9AE,SW1P 3AU,540,4
4/2/2013 2:16,15,CR0 2QA,SW18 1NN,455,4
4/2/2013 2:29,23,SE25 4UN,SW12 9HD,500,4
4/2/2013 2:33,216,W1F 7QW,NW5 2QH,505,4
4/2/2013 2:34,209,E1 8EN,E2 0RY,435,4
4/2/2013 2:38,339,E2 9LY,SE1 2BN,530,4
4/2/2013 2:42,298,SE26 5QF,CR7 8LE,385,4
4/2/2013 2:43,224,SE10 9NW,E2 0RY,485,4
4/2/2013 2:58,303,CR7 7JJ,SW12 9HD,555,4
4/2/2013 3:14,22,SW1A 2NH,SE1 2BN,390,4
4/2/2013 3:16,162,SE1 7PZ,SW1P 3AU,350,4
4/2/2013 3:17,53,SW1A 2BX,SE1 2BN,450,4
4/2/2013 3:43,301,SW7 4TE,W10 6HQ,495,4
4/2/2013 3:54,350,NW3 1HE,NW5 2QH,480,4
4/2/2013 3:54,292,EC2A 4NE,SW1P 3AU,445,4
4/2/2013 4:04,337,N1 9NL,SW1V 4QQ,490,4
4/2/2013 4:06,170,EC4N 1SP,SW1P 3AU,330,4
4/2/2013 4:06,173,N1 6BU,NW5 2QH,440,4
4/2/2013 4:09,70,EC4V 5BH,SW1P 3AU,425,4
4/2/2013 4:10,23,W1D 7PJ,SW1P 3AU,500,4
4/2/2013 4:15,307,W2 5QH,SW1P 3AU,520,4
4/2/2013 4:23,2,EC1R 5ET,SW1P 3AU,305,4
4/2/2013 4:23,364,N20 8NX,N3 1DH,485,4
4/2/2013 4:38,172,EC4V 4EG,SW1V 4QQ,370,4
4/2/2013 4:48,211,SW13 0NR,W4 3PH,475,4
4/2/2013 4:49,352,EC3R 8BU,E2 0RY,540,4
4/2/2013 4:51,289,KT2 7PX,KT2 5AU,455,4
4/2/2013 4:56,219,E11 1NP,E7 8NW,455,4
4/2/2013 4:58,357,SE1 3QP,SE1 2BN,575,4
4/2/2013 5:18,222,KT1 2RF,SW18 1NN,425,4
4/2/2013 5:24,315,CR7 8LE,SW12 9HD,500,4
4/2/2013 5:37,3,E15 4PH,E2 0RY,395,4
4/2/2013 6:04,26,WC2E 7LJ,SW1P 3AU,310,4
4/2/2013 6:15,21,E1 1LN,E2 0RY,440,4
4/2/2013 6:22,354,W1M 7FB,NW5 2QH,465,4
4/2/2013 6:48,207,SE1 9NL,SE1 2BN,510,4
4/2/2013 6:49,200,W1T 1NT,SW1P 3AU,480,4
4/2/2013 7:00,314,E1 7PT,SE1 2BN,410,4
4/2/2013 7:03,295,SE23 2NE,CR7 8LE,575,4
4/2/2013 7:06,51,WC1N 1HX,SW1P 3AU,430,4
4/2/2013 7:12,207,N7 0SJ,SW1P 3AU,510,4
4/2/2013 7:14,317,NW1 6XE,NW5 2QH,520,4
4/2/2013 7:29,167,W1W 6YB,SW1P 3AU,520,4
4/2/2013 7:41,344,WC2R 0DW,SW1P 3AU,560,4
4/2/2013 7:46,162,EC2V 8DP,SW1P 3AU,350,4
4/2/2013 7:57,341,E16 1EN,E7 8NW,550,4
4/2/2013 7:58,352,NW3 7HE,N3 1DH,540,4
4/2/2013 8:01,52,NW1 1HB,SW1P 3AU,380,4
4/2/2013 8:03,80,WC1V 6LS,SE1 2BN,465,4
4/2/2013 8:21,75,W1H 5HT,SW1V 4QQ,435,4
4/2/2013 8:25,153,SE26 4QY,SE8 3JD,355,4
4/2/2013 8:46,147,E1W 2NE,SE1 2BN,415,4
4/2/2013 8:48,311,E11 4HL,N17 6QA,600,4
4/2/2013 8:51,205,WC1N 3AR,NW5 2QH,450,4
4/2/2013 9:00,363,EC1A 9DE,SE1 2BN,535,4
4/2/2013 9:04,197,SE20 7EU,CR7 8LE,470,4
4/2/2013 9:14,342,N1 8HD,E2 0RY,500,4
4/2/2013 9:14,156,SW19 3NW,KT2 5AU,345,4
4/2/2013 9:18,295,TW1 3AW,W4 3PH,575,4
4/2/2013 9:28,221,SE25 6NJ,SE8 3JD,475,4
4/2/2013 9:29,53,EC1M 6DB,SE1 2BN,450,4
4/2/2013 9:33,151,EC3M 7AN,SE1 2BN,495,4
4/2/2013 9:44,176,WC2R 0DW,SE1 2BN,450,4
4/2/2013 9:59,356,WC2R 3JF,SE1 2BN,505,4
4/2/2013 10:05,212,SE11 4XD,SW1V 4QQ,425,4
4/2/2013 10:11,293,SW10 0PL,SW1P 3AU,515,4
4/2/2013 10:12,51,EC1M 4DE,NW5 2QH,430,4
4/2/2013 10:35,52,SW6 4UL,SW18 1NN,380,4
4/2/2013 10:36,219,SW1Y 6DB,SW1V 4QQ,455,4
4/2/2013 10:44,293,N7 6PN,NW5 2QH,515,4
4/2/2013 11:09,166,WC2R 3JF,SE1 2BN,410,4
4/2/2013 11:09,224,E14 4BB,SE8 3JD,485,4
4/2/2013 11:11,304,WC1V 6BS,SE1 2BN,505,4
4/2/2013 11:11,152,BR3 4DF,CR7 8LE,445,4
4/2/2013 11:13,151,SE14 6LA,SE1 2BN,495,4
4/2/2013 11:17,66,EC1A 9EJ,SE1 2BN,365,4
4/2/2013 11:30,31,SW9 8DR,SW12 9HD,480,4
4/2/2013 11:33,148,WC2N 4ER,SW1V 4QQ,365,4
4/2/2013 11:37,307,W2 3QH,W10 6HQ,520,4
4/2/2013 11:39,293,SE1 2LN,SW1P 3AU,515,4
4/2/2013 11:41,22,SE1 1HR,SE1 2BN,390,4
4/2/2013 11:51,318,SE25 6EB,CR7 8LE,470,4
4/2/2013 11:52,215,W1T 2AW,SW1V 4QQ,555,4
4/2/2013 11:53,58,N1 9NL,SW1P 3AU,320,4
4/2/2013 12:05,319,TW7 6QJ,W4 3PH,580,4
4/2/2013 12:07,159,W11 1PY,W10 6HQ,475,4
4/2/2013 12:13,149,N1 6EB,SE1 2BN,435,4
4/2/2013 12:22,348,W1D 3RZ,SW1P 3AU,460,4
4/2/2013 12:25,341,SW1W 8TR,SW1V 4QQ,550,4
4/2/2013 12:30,25,E2 9LH,SE8 3JD,360,4
4/2/2013 12:31,302,E14 8EZ,SE1 2BN,445,4
4/2/2013 12:33,31,WC2B 5JS,SW1P 3AU,480,4
4/2/2013 12:35,295,TW9 1TJ,W4 3PH,575,4
4/2/2013 12:42,6,SW1Y 5AT,SW1P 3AU,365,4
4/2/2013 12:43,300,EC2M 7QN,SE1 2BN,425,4
4/2/2013 12:45,304,SE4 1TF,E2 0RY,505,4
4/2/2013 12:46,354,SE16 4NB,SE8 3JD,465,4
4/2/2013 12:55,215,SE1 9NL,SW1V 4QQ,555,4
4/2/2013 12:56,159,SE11 4PP,SE1 2BN,475,4
4/2/2013 13:15,51,EC3V 0BP,SW1P 3AU,430,4
4/2/2013 13:19,64,SW3 1LA,SW1P 3AU,440,4
4/2/2013 13:22,304,EC4V 4EG,SW1P 3AU,505,4
4/2/2013 13:23,346,EC2V 5BT,E2 0RY,420,4
4/2/2013 13:26,4,WC2H 8EG,SW1P 3AU,345,4
4/2/2013 13:38,308,SE17 3EW,SW1P 3AU,470,4
4/2/2013 13:38,53,E16 1EN,E7 8NW,450,4
4/2/2013 13:54,156,W1W 6BA,SW1P 3AU,345,4
4/2/2013 14:05,290,WC2E 8BT,SW1V 4QQ,405,4
4/2/2013 14:07,158,EC1R 1UY,NW5 2QH,365,4
4/2/2013 14:07,72,SW3 6NJ,SW1P 3AU,485,4
4/2/2013 14:07,320,WC2E 7BN,SW1P 3AU,530,4
4/2/2013 14:08,31,W4 3PH,W4 3PH,480,4
4/2/2013 14:11,307,EC1A 9LB,SW1P 3AU,520,4
4/2/2013 14:12,70,WC1X 8QZ,NW5 2QH,425,4
4/2/2013 14:16,3,WC2N 6NE,SE1 2BN,395,4
4/2/2013 14:19,76,RM10 8QS,E7 8NW,385,4
4/2/2013 14:27,342,SE1 1TU,SW1P 3AU,500,4
4/2/2013 14:28,152,E14 3DT,SE1 2BN,445,4
4/2/2013 14:28,164,SE13 5BU,SE1 2BN,390,4
4/2/2013 14:32,173,IG11 8TN,E2 0RY,440,4
4/2/2013 14:52,24,N1 0PN,SW1P 3AU,450,4
4/2/2013 14:53,62,N6 6BU,NW5 2QH,380,4
4/2/2013 14:58,340,TW10 7DB,KT2 5AU,480,4
4/2/2013 15:07,317,N1 1HW,SW1P 3AU,520,4
4/2/2013 15:08,221,N5 2LL,NW5 2QH,475,4
4/2/2013 15:12,302,EC2M 6SA,E2 0RY,445,4
4/2/2013 15:14,1,EC4V 6AA,SW1P 3AU,355,4
4/2/2013 15:15,367,N16 0LA,NW5 2QH,615,4
4/2/2013 15:17,149,CR7 8RY,SW12 9HD,435,4
4/2/2013 15:21,305,CR7 7JJ,SW12 9HD,480,4
4/2/2013 15:27,50,WC2H 9NY,SW1V 4QQ,340,4
4/2/2013 15:32,308,N22 6UX,N3 1DH,470,4
4/2/2013 15:38,293,WC2H 9HD,SW1V 4QQ,515,4
4/2/2013 15:46,73,SW16 6EN,CR7 8LE,395,4
4/2/2013 15:57,23,N1 1ER,E2 0RY,500,4
4/2/2013 15:57,205,W7 2PJ,W4 3PH,450,4
4/2/2013 16:06,341,SE1 9NL,SW1V 4QQ,550,4
4/2/2013 16:08,304,E8 1EN,SE1 2BN,505,4
4/2/2013 16:19,205,EC1A 7JA,SE1 2BN,450,4
4/2/2013 16:26,30,EC4A 4AB,SW1P 3AU,370,4
4/2/2013 16:28,153,NW5 2TG,NW5 2QH,355,4
4/2/2013 16:32,307,W1W 7LQ,NW5 2QH,520,4
4/2/2013 16:33,303,WC1R 4PF,SW1V 4QQ,555,4
4/2/2013 16:38,21,WC1H 8JG,SW1P 3AU,440,4
4/2/2013 16:40,176,W1D 3RZ,SW1P 3AU,450,4
4/2/2013 16:42,312,EC1R 0DY,NW5 2QH,550,4
