Postcode,OS X,OS Y
N3 1DH,525109,190628
N4 2DE,532006,187461
N4 2HY,531449,186729
N5 1EA,531890,186122
N5 2AB,531951,185568
N5 2LL,531921,186234
N5 2NN,532488,185096
N6 6BU,528281,187336
N7 0BL,529755,185023
N7 0BP,529713,185041
N7 0JN,530047,185372
N7 0SF,530302,185708
N7 0SJ,530275,185525
N7 6AR,530461,186176
N7 6PN,530640,185871
N7 8EE,530897,185227
N7 9BL,530242,184480
N7 9EF,530330,185003
NW1 0JH,529174,183469
NW1 1BX,529575,182877
NW1 1HB,529716,183016
NW1 1TP,529312,183437
NW1 2DN,529666,182668
NW1 2HH,529427,182576
NW1 2HR,529342,182608
NW1 3AU,528915,182163
NW1 4BT,528808,182567
NW1 4BX,528842,182787
NW1 4EA,528848,182423
NW1 4EE,528846,182533
NW1 5AL,527738,181981
NW1 6DY,527702,182232
NW1 6XE,527847,182144
NW1 7JE,529151,183431
NW1 7NB,528783,183660
NW1 7RR,528955,183327
NW1 7RU,528753,183537
NW1 8NY,528941,184342
NW1 8QR,528830,184032
NW1 8QU,528711,184190
NW1 8XD,527857,184048
NW10 4UA,521633,183110
NW3 1HE,526480,185788
NW3 1NT,527003,185771
NW3 2AE,527249,185230
NW3 2PN,527151,185481
NW3 2QE,527275,185569
NW3 6SG,526323,185868
NW3 7HE,526009,187031
NW5 1SP,528771,186041
NW5 2QH,529248,185213
NW5 2SG,529546,185145
NW5 2TG,529028,185219
NW6 2BY,524950,184270
NW6 2LU,525540,184577
NW6 4JD,525187,183969
NW6 7JR,524885,184280
NW8 8EP,527074,182159
RM10 8QS,549065,184736
SE1 0LH,531942,180037
SE1 1ER,532269,179932
SE1 1HR,532538,179922
SE1 1NA,532684,180134
SE1 1NH,532627,180096
SE1 1NP,532585,180024
SE1 1QN,532363,179705
SE1 1TA,532409,180083
SE1 1TU,532492,180154
SE1 2BN,534057,179682
SE1 2JX,533647,179825
SE1 2LN,533618,180020
SE1 2LX,533720,180029
SE1 2PF,532900,180300
SE1 2TF,533102,180143
SE1 2UP,533595,180025
SE1 3JW,533238,179878
SE1 3QP,533044,179895
SE1 3SS,532817,179859
SE1 3UB,533218,179734
SE1 3XB,533256,179711
SE1 4HL,533333,179040
SE1 4JU,532554,179665
SE1 4YG,532637,179408
SE1 6TJ,532080,179025
SE1 7HR,531054,179481
SE1 7NZ,530828,179790
SE1 7PZ,531201,179241
SE1 7UT,530871,179610
SE1 8DA,531566,180025
SE1 8DP,531609,180231
SE1 8HA,531615,179949
SE1 8NL,531682,180197
SE1 8NY,531629,180315
SE1 8QA,531417,179785
SE1 8SW,531050,179933
SE1 8TB,531286,180097
SE1 9AA,532585,180197
SE1 9AL,532654,180218
SE1 9EF,532449,180395
SE1 9JH,531825,180514
SE1 9NL,531301,180367
SE1 9UD,531618,180538
SE10 8JL,537654,177097
SE10 8RT,538307,177164
SE10 9BL,538256,177729
SE10 9NW,538670,178069
SE10 9PD,538962,178291
SE11 4DJ,531469,178134
SE11 4EA,531407,178270
SE11 4LD,531199,178122
SE11 4PP,531108,177516
SE11 4XD,531440,178481
SE11 5JA,530677,177967
SE11 6HS,531169,178443
SE13 5BU,539299,175470
SE13 6LE,537995,174885
SE14 6AF,536404,176987
SE14 6AG,536619,177021
SE14 6LA,536682,177068
SE14 6TJ,537118,176948
SE14 6TY,536890,176999
SE15 3NX,534483,175739
SE15 3QQ,534883,175819
SE15 4HY,534154,175553
SE16 2HB,534742,178789
SE16 4NB,534713,179740
SE16 4NF,535203,179897
SE16 4QZ,534348,179162
SE16 5EJ,536548,180238
SE16 5EX,536546,180097
SE17 1RL,532311,178368
SE17 2DN,532435,178280
SE17 2SB,532650,178446
SE17 3EW,532040,178015
SE19 1PF,533414,171009
SE19 1RX,533506,170705
SE19 1TQ,533442,170754
SE19 2AE,533991,170533
SE19 2EZ,533543,170496
SE19 3HF,531784,170780
SE20 7DT,535490,170322
SE20 7EU,535554,170144
SE20 8RZ,534952,170567
SE21 7BJ,533180,173938
SE22 0RR,534741,174492
SE22 8EW,533835,175187
SE22 8HJ,533811,175125
SE22 9JA,533950,174559
SE23 1BS,535683,173272
SE23 1JB,536658,173336
SE23 2NE,535503,172939
SE23 3HE,535352,172957
SE23 3HN,535342,172767
SE24 0JT,531932,174371
SE24 0NG,531906,174350
SE24 0NJ,531580,174507
SE24 9HU,532143,174338
SE25 4LX,534575,168236
SE25 4QB,534600,167709
SE25 4UF,534186,168354
SE25 4UN,534299,168248
SE25 5AG,533975,168237
SE25 5EU,534357,167077
SE25 5QF,532992,167278
SE25 6EA,533938,168354
SE25 6EB,533998,168421
SE25 6EF,534086,168521
SE25 6HA,534062,168531
SE25 6NJ,533252,168091
SE26 4BG,534883,172132
SE26 4QB,535310,171554
SE26 4QJ,534972,172069
SE26 4QY,534965,172166
SE26 5HB,535838,171458
SE26 5QF,535546,171459
SE26 6RS,534066,172177
SE27 9ND,532310,171212
SE27 9QY,533035,171570
SE3 0QJ,539267,176221
SE3 0RL,539686,176276
SE3 9LE,539632,175992
SE4 1TF,536707,176090
SE5 8DH,533529,175888
SE5 8QU,532656,176709
SE5 8RS,532566,176473
SE6 4RE,537385,173593
SE7 8SU,541149,178482
SE8 3JD,537175,177885
SE8 3NT,537131,177601
SE8 4RT,537213,177174
SE8 4RZ,537374,176949
SW10 0PL,526285,177138
SW11 1RU,527337,175463
SW11 2JU,527712,175806
SW11 3AA,527477,176441
SW11 3BW,527497,176369
SW11 5RD,528144,175684
SW12 8NX,528131,173966
SW12 9AU,528538,173271
SW12 9HD,528739,173080
SW13 0NR,521326,176150
SW13 9LW,521670,176411
SW14 7QR,520351,176144
SW15 1JN,523931,175760
SW16 1BS,530178,172340
SW16 1DA,530201,172499
SW16 6EN,530044,171416
SW16 6LQ,529906,171537
SW17 9NG,527640,171230
SW18 1NN,525155,175180
SW18 1TF,525979,175041
SW19 2BH,526682,170295
SW19 3NW,524772,169692
SW19 3TA,524819,170572
SW19 4RQ,523309,170629
SW19 5BA,523809,171172
SW19 7NE,524710,170732
SW1A 2BX,530095,180273
SW1A 2DD,530075,180339
SW1A 2JR,530240,179718
SW1A 2NH,530188,179798
SW1H 0DB,529656,179545
SW1H 9BP,529771,179582
SW1H 9LA,529770,179501
SW1P 1DN,529370,178996
SW1P 2HA,529744,179209
SW1P 3AU,529902,179641
SW1V 1DW,529170,178716
SW1V 1DX,529308,178793
SW1V 1RY,529191,178633
SW1V 2EE,529415,178549
SW1V 3AS,529618,178286
SW1V 4QQ,528924,178440
SW1W 0LN,528662,179174
SW1W 8BU,528064,178394
SW1W 8EZ,528119,178861
SW1W 8HR,528197,178490
SW1W 8NE,528326,178447
SW1W 8TR,528275,178766
SW1X 7BA,528450,179458
SW1X 7NR,528177,179652
SW1X 8HT,528125,179306
SW1Y 4RJ,529653,180562
SW1Y 5AT,529861,180375
SW1Y 6DB,529339,180374
SW1Y 6DF,529306,180369
SW1Y 6HD,529540,180511
SW1Y 6JP,529422,180464
SW1Y 6PP,529342,180191
SW2 1HE,530457,173890
SW2 2UB,530812,174017
SW3 1LA,527349,179210
SW3 2DY,527238,178835
SW3 4PL,527433,178201
SW3 6NJ,527216,178191
SW4 0JG,529208,175473
SW4 0JL,529240,175537
SW4 0LB,529182,175552
SW4 0LN,529063,175760
SW4 6DZ,529511,175809
SW4 7AA,529459,175260
SW4 7EX,529925,175086
SW4 7SQ,530061,175588
SW4 9DE,528971,174810
SW5 0LJ,526204,178419
SW5 9JA,525627,178188
SW6 3JS,524425,175862
SW6 4UL,525170,176517
SW7 3QG,526652,178387
SW7 4SS,526296,178821
SW7 4TE,526350,178695
SW8 1DL,530539,177169
SW8 1LA,530716,177488
SW8 1RB,530298,177435
SW8 1XP,530457,176981
SW8 1XX,530394,177336
SW8 2TH,530249,177529
SW8 3JW,528601,175790
SW8 3QH,528712,176491
SW9 8DR,530785,175339
SW9 8HH,531059,175364
TW1 2LJ,516980,174141
TW1 3AW,516617,173615
TW10 5LA,517821,171785
TW10 6DF,518465,174996
TW10 6RN,518337,173960
TW10 7AA,518128,173308
TW10 7DB,517922,172272
TW7 6QJ,515861,176247
TW8 0AW,518042,177558
TW9 1TJ,517694,174702
TW9 3AH,518891,177662
TW9 3AP,519102,177648
TW9 3BH,519103,177482
W10 6HQ,524190,181567
W11 1PY,524367,181248
W11 2QA,524766,180903
W11 2RP,525199,181141
W11 4UL,524104,179977
W12 8LH,523108,180004
W12 9DH,522228,180066
W12 9ER,522131,179984
W14 8SZ,524359,178783
W1B 5DL,529389,180720
W1B 5DP,529329,180714
W1B 5PP,529229,180940
W1B 5PX,529207,180969
W1B 5QH,529151,181043
W1D 3AJ,529717,181106
W1D 3RZ,529684,181099
W1D 3SU,529614,181198
W1D 3TA,529586,181258
W1D 4AE,529771,181117
W1D 4DJ,529791,181153
W1D 4UB,529706,180991
W1D 5BE,529736,180980
W1D 5BH,529752,180942
W1D 5DD,529838,181048
W1D 5DH,529846,181028
W1D 6DJ,529683,180788
W1D 7HS,529524,180728
W1D 7PJ,529602,180888
W1F 0QA,529509,181083
W1F 0TT,529566,181113
W1F 7HH,529326,181197
W1F 7HZ,529188,181064
W1F 7NX,529399,181058
W1F 7QW,529281,181031
W1F 7QY,529212,180978
W1F 8SR,529390,181270
W1F 8ZD,529460,181255
W1F 9QP,529381,181006
W1F 9SF,529343,180944
W1F 9UN,529482,180813
W1G 0JA,528949,181309
W1G 0PP,528909,181315
W1G 6PG,528375,181897
W1G 7EQ,528714,181753
W1G 8PJ,528458,181650
W1G 9UE,528446,181633
W1H 1DG,527601,181753
W1H 2HQ,527659,181646
W1H 4HX,527470,181663
W1H 4LQ,527356,181537
W1H 4NX,527421,181640
W1H 5HE,527402,181468
W1H 5HT,527474,181440
W1H 6HR,528063,181126
W1H 7AF,527966,181067
W1H 7PP,527732,181195
W1J 5DE,528756,180476
W1J 5RG,528606,180599
W1J 6NL,528823,180759
W1J 6PT,528907,180727
W1J 7HR,528710,180206
W1J 7QA,528760,180230
W1J 7QQ,528745,180265
W1K 4AL,528768,180924
W1K 4PU,528822,180889
W1K 5RE,528572,181060
W1K 6JG,528401,180959
W1M 7FB,528924,181745
W1P 1HJ,529502,181647
W1P 3RE,529331,181375
W1P 5DA,529226,182228
W1P 9LG,529425,182049
W1S 1AA,528742,181119
W1S 1PD,528990,180962
W1S 2AT,529001,180921
W1S 2JL,529048,180793
W1S 4RX,529098,180502
W1T 1DG,529584,181554
W1T 1HH,529654,181374
W1T 1HJ,529643,181397
W1T 1JQ,529530,181518
W1T 1NQ,529475,181563
W1T 1NT,529506,181566
W1T 1QY,529605,181534
W1T 1TA,529444,181683
W1T 1UT,529661,181387
W1T 2AW,529435,181786
W1T 2EQ,529603,181702
W1T 2QF,529493,181749
W1T 3ET,529461,181427
W1T 3PG,529326,181445
W1T 4EY,529382,181965
W1T 4LZ,529393,181681
W1T 5AH,529330,182133
W1T 5DU,529223,182129
W1T 5ND,529064,182165
W1T 6QF,529015,182065
W1T 7QJ,529684,181654
W1U 1LP,528366,181154
W1U 1QB,528416,181286
W1U 2QU,528367,181506
W1U 2SA,528476,181338
W1U 3EE,528316,181314
W1U 4AP,528225,181652
W1U 5JN,528304,181907
W1U 7HS,528199,181573
W1V 7LF,529777,180895
W1W 5EA,528846,181998
W1W 5QU,528866,182122
W1W 6BA,528953,181829
W1W 6DL,529239,181791
W1W 6DS,529126,181692
W1W 6PS,528980,181740
W1W 6YB,529087,181797
W1W 7AX,529055,181630
W1W 7EP,529187,181639
W1W 7JB,529107,181473
W1W 7LQ,529017,181492
W1W 7QL,529131,181596
W1W 8QG,529044,181412
W1X 7FJ,528511,180346
W1Y 7HJ,528637,180217
W2 1HB,526556,181417
W2 1PU,527090,181506
W2 2AF,527372,181122
W2 3EU,526194,180764
W2 3QH,526473,180866
W2 4AH,525756,180828
W2 4NY,525442,180898
W2 5AH,525371,181147
W2 5QH,525330,181557
W2 6DT,526308,181116
W3 7JT,520898,180071
W3 9DD,519979,180131
W3 9DJ,520042,180116
W3 9NX,519924,180199
W4 3PH,519585,177640
W4 3PL,519299,177852
W4 5LF,520577,178923
W4 5TF,520512,178524
W6 7BL,523792,178878
W6 9DJ,522909,178232
W6 9HW,523155,178537
W6 9TA,522526,178325
W6 9TJ,522126,178291
W7 2PJ,515073,179657
W7 3TX,515348,179990
W8 7LN,525385,180169
W8 7SR,525174,180337
W9 1EH,526115,182409
WC1A 1BL,530081,181432
WC1A 1LH,530120,181550
WC1B 3BA,530135,181583
WC1B 5BP,530106,181797
WC1E 6JL,529447,182168
WC1E 7DH,529703,181758
WC1E 7HJ,529551,181921
WC1H 0JZ,530026,182144
WC1H 8BS,530217,182638
WC1H 8JG,530516,182647
WC1H 9DW,530184,182764
WC1H 9EP,530151,182524
WC1N 1AL,530112,182434
WC1N 1AP,530143,182346
WC1N 1HX,530224,182098
WC1N 2JF,530892,182037
WC1N 2PB,530769,182111
WC1N 3AP,530342,181922
WC1N 3AR,530317,181980
WC1N 3ES,530712,181998
WC1N 3LZ,530598,182132
WC1N 3NB,530613,182019
WC1R 4PF,530702,181789
WC1R 4PZ,530765,181733
WC1V 6BS,531051,181641
WC1V 6LS,530737,181585
WC1V 7BW,530424,181489
WC1X 0AE,531065,182190
WC1X 8PN,530954,181975
WC1X 8QZ,530526,182746
WC1X 8TX,530872,182167
WC1X 8TZ,530855,182196
WC1X 9JE,530686,182943
WC1X 9NB,530646,182751
WC2 4HS,530153,180641
WC2A 2HF,530750,181208
WC2A 3HP,530613,181491
WC2A 3RJ,531018,181266
WC2B 5DG,530496,181355
WC2B 5EL,530438,181476
WC2B 5JS,530518,180960
WC2B 5QD,530284,181357
WC2B 5TB,530455,181187
WC2E 7AU,530467,181005
WC2E 7BN,530473,180945
WC2E 7DN,530558,180873
WC2E 7LJ,530359,180783
WC2E 7NA,530355,180753
WC2E 8BT,530295,181012
WC2E 8HB,530351,180907
WC2E 8RF,530351,180907
WC2E 9EB,530180,180857
WC2E 9JH,530379,181133
WC2E 9LH,530120,180889
WC2E 9NG,530372,181181
WC2H 0EA,529827,181231
WC2H 0HG,529996,180708
WC2H 7AD,530013,180828
WC2H 8EG,530136,181426
WC2H 8LE,530012,181278
WC2H 8LN,529925,181334
WC2H 9EB,530213,181172
WC2H 9EP,530046,181032
WC2H 9EW,530074,181114
WC2H 9HD,530054,181140
WC2H 9NY,530045,180918
WC2H 9PS,530190,181139
WC2N 4AJ,530015,180817
WC2N 4AP,530058,180759
WC2N 4EA,530089,180768
WC2N 4ER,530097,180673
WC2N 5DB,530209,180381
WC2N 5PH,530214,180386
WC2N 6HL,530291,180547
WC2N 6NE,530334,180450
WC2R 0DW,530457,180704
WC2R 0HS,530565,180820
WC2R 0NP,530365,180703
WC2R 1AP,531040,181039
WC2R 2PP,531065,180778
WC2R 3JF,531051,181023
WC2R 3JJ,531071,181014
WC2R 3LD,531026,180989
WD7 7NP,516343,199846
